"Component Count:","11"
"Designator","Value","Q","Package","Cmp name","Footprint","Description","Vendor"
"D1, ","LED_BARG","1","","LED_RGB","","RGB LED, 6 pin package",""
"J1, ","Conn_01x02_Female","1","","Conn_01x02_Female","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","IRLML6402","1","","IRLML6402","Package_TO_SOT_SMD:SOT-23","-3.7A Id, -20V Vds, P-Channel MOSFET, 65mOhm Rds, SOT-23",""
"R1, R2, R3, R5, ","1k","4","","R_Small","","Resistor, small symbol",""
"SW1, SW2, ","SW_SPST","2","","SW_SPST","","Single Pole Single Throw (SPST) switch",""
"U1, ","Adafruit_nRF52_Feather","1","","Adafruit_nRF52_Feather","","",""
"U2, ","VEML6075_breakout","1","","VEML6075_breakout","","",""
