"Designator","Value","Q","Package","Category","Stock","Manufacturer","Manufacturer Part No. (Datasheet)","Vendor (Vendor link)","Unit cost","Total cost","Minimum Order","Description"
"D1, ","LED_BARG","1","SMD","Electronics","","Cree","=HYPERLINK(""https://docs-apac.rs-online.com/webdocs/1524/0900766b815247fa.pdf"", ""SLV6A-FKB-CK1P1G1BB7R3R3 "")","=HYPERLINK(""https://sg.rs-online.com/web/p/products/1238680/"", ""RS Components"")","0.632","6.32","10","LED_RGB: RGB LED, 6 pin package"
"J1, ","Conn_01x02_Female","1","SMD","Connector","","JST","=HYPERLINK(""https://docs-apac.rs-online.com/webdocs/13ce/0900766b813ce4bd.pdf"", ""S2B-PH-SM4-TB(LF)(SN)"")","=HYPERLINK(""https://sg.rs-online.com/web/p/products/6881353/"", ""RS Components"")","0.486","2.4299999999999997","5","Conn_01x02_Female: Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Q1, ","IRLML6402","1","SOT-23","Electronics","","Infineon","=HYPERLINK(""https://docs-apac.rs-online.com/webdocs/10c7/0900766b810c708d.pdf"", ""IRLML2246TRPBF"")","=HYPERLINK(""https://sg.rs-online.com/web/p/products/7604432/"", ""RS Components"")","0.224","1.12","5","IRLML6402: -3.7A Id, -20V Vds, P-Channel MOSFET, 65mOhm Rds, SOT-23"
"R1, R2, R3, ","1k","3","0805","Electronics","18-res-0805-1k","","","","","0","1","R_Small: Resistor, small symbol"
"R4, ","0R","1","0805","Electronics","15-res-0805-0","","","","","0","","R_Small: Resistor, small symbol"
"SW1, SW2, ","SW_SPDT","2","SMD","Connector","","","=HYPERLINK(""https://www.aliexpress.com/item/50Pcs-Mini-7-Pin-On-Off-1P2T-SPDT-MSK-12C02-SMD-Toggle-Slide-Switch-For-MP3/32856542440.html"", ""Link to datasheet"")","=HYPERLINK(""https://www.aliexpress.com/item/50Pcs-Mini-7-Pin-On-Off-1P2T-SPDT-MSK-12C02-SMD-Toggle-Slide-Switch-For-MP3/32856542440.html"", ""AliExpress"")","1.90 ","3.8","1","SW_SPDT: Switch, single pole double throw"
"U1, ","Adafruit_nRF52_Feather","1","TH","Electronics","prototype-4","Adafruit","=HYPERLINK(""https://cdn-learn.adafruit.com/assets/assets/000/052/793/original/microcontrollers_revgsch.png?1523067417"", ""3406"")","=HYPERLINK(""https://www.adafruit.com/product/3406"", ""Adafruit"")","34.0","34.0","1","Adafruit_nRF52_Feather: "
"U2, ","VEML6075_breakout","1","TH","Electronics","prototype-5","Adafruit","=HYPERLINK(""https://learn.adafruit.com/assets/62587"", ""3964"")","=HYPERLINK(""https://www.adafruit.com/product/3964"", ""Adafruit"")","8.20","8.2","1","VEML6075_breakout: "
"Total:","8","11","","","","","","","","55.87","",""
